date,price,market_cap,ath_value,ath_date,symbol,name,token
2023-01-01,16540.693624776803,318278329991.7019,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-02,16615.969318012816,319832024054.6308,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-03,16674.342536301097,321486454934.26776,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-04,16677.646185850346,321080820418.184,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-05,16855.1747387671,324397588037.39484,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-06,16832.098988497855,324138957221.0557,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-07,16960.23206247515,326571439011.6566,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-08,16950.861521853905,326371741274.41095,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-09,17074.61539572674,328470896861.37854,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-10,17194.90932945318,331158152699.25574,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-11,17436.90232978116,335743942932.3494,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-12,17996.832553741606,345688973386.69006,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-13,18866.810330617045,363381125082.7658,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-14,19941.780543296303,382675302196.4898,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-15,21019.20661402266,405209898132.0056,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-16,20853.230569490253,401697403586.5178,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-17,21175.33773662521,407760358639.0028,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-18,21156.78393116713,407405144842.9396,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-19,20726.844969426445,399349603616.14526,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-20,21081.67102220433,406258441952.3726,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-21,22705.83367889906,436724993652.4275,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-22,22771.023287021784,438578588179.0604,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-23,22736.66142892971,438060367560.3554,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-24,22984.87497643721,442926343072.5924,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-25,22610.01059827285,435679436196.35767,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-26,23180.422697874263,446715261348.7517,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-27,23024.74618081709,444005849172.13904,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-28,23082.858382122955,444898315874.05536,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-29,23022.23299135344,443702765526.11646,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-30,23797.46089488124,458368002025.743,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-01-31,22840.385858797104,439295730927.16473,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-01,23137.323554088376,445991168199.3282,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-02,23725.16179614224,457383099382.75,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-03,23539.676770196525,453565018922.5452,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-04,23451.577650774638,452312595756.25696,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-05,23340.34958553934,450197147854.798,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-06,22946.286578591236,442933975658.56586,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-07,22786.483006387727,438726385719.1618,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-08,23294.9136483527,449391195299.20337,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-09,22947.50782856846,442518382691.6549,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-10,21820.88650809277,420790678627.7739,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-11,21630.132979576298,417351358181.0193,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-12,21889.432080049624,422107650473.77954,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-13,21779.87440384417,420218240428.1313,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-14,21807.834274723064,420838871938.8273,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-15,22220.070997481067,428649056117.7321,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-16,24307.8751016316,468820317786.9533,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-17,23756.907281577434,459293697174.9459,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-18,24628.82455217312,475194230168.0997,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-19,24642.79087073843,475529620771.9494,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-20,24284.478003714703,470798520570.0436,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-21,24786.665940845705,478236525469.6496,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-22,24417.38703630947,470623925511.17865,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-23,24146.101364545226,465998918250.2451,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-24,23951.11098423326,461042830140.0772,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-25,23172.286538018925,447316067422.04736,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-26,23157.038107459524,447030240435.99854,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-27,23541.11585449356,454284528651.5023,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-02-28,23518.12390627588,454364917718.867,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-01,23155.543746825795,446010055987.85736,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-02,23634.333489123783,456417315966.7193,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-03,23464.33654185282,453067155320.8529,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-04,22367.43302246967,431727585101.1504,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-05,22348.32991538815,431837491811.4938,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-06,22421.885805853268,433081135066.3954,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-07,22415.113659694827,432758824798.3097,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-08,22217.209884905325,427994888566.54205,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-09,21712.65119391273,419694984165.3824,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-10,20376.320007428807,392841773384.4403,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-11,20195.2289502733,390202255053.33545,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-12,20521.55615175117,394742728281.98926,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-13,22095.71339833569,425816781283.9279,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-14,24178.95532797469,466509005562.78174,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-15,24758.765085827567,478406045309.6089,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-16,24470.88205445031,472833547484.0809,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-17,25161.27201752005,486375597562.7987,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-18,27466.677829829863,530038219067.3334,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-19,27107.792183504385,523262280970.14777,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-20,28186.842652360127,546680822196.2155,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-21,27929.167733140293,538935400013.3555,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-22,28264.23961052235,545917428270.1058,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-23,27449.25483080736,530515158753.954,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-24,28459.735113552502,549578396178.6341,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-25,27595.4947483755,533634255119.3758,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-26,27670.199498496837,534960802333.31067,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-27,28048.46997853496,542675619058.77966,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-28,27182.299559950465,525230880103.1384,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-29,27291.3500210497,528042785008.98267,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-30,28394.997780199057,548808373530.0567,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-03-31,28041.123080088284,542369769760.288,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-01,28516.78472968864,551707238559.8757,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-02,28498.94463304862,550949831049.3949,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-03,28236.508738939792,545181408318.2205,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-04,27815.42653124798,539350908801.9282,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-05,28175.33033421539,544313567953.4008,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-06,28197.20034124555,545409754928.52686,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-07,28042.9833864884,542601176317.4441,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-08,27934.43871284895,540432353743.3232,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-09,27968.12804705512,541094458101.4472,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-10,28351.23699385011,548568597244.1978,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-11,29657.97413687356,574059578670.3654,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-12,30260.93610940865,585359301945.2595,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-13,29904.138694718906,578850627447.6105,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-14,30405.027312781145,587939018759.4221,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-15,30468.40870059078,589051372432.549,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-16,30312.16187965924,586969785778.0928,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-17,30304.807514785844,586268225587.8677,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-18,29467.459829260344,569958059900.5195,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-19,30365.90416754141,587730212230.9563,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-20,28833.217501221105,558796473890.5958,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-21,28255.57824866478,546141074655.3764,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-22,27300.15712851557,528357279464.0127,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-23,27861.640663476548,539454716829.9368,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-24,27606.578347653143,533753154140.2553,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-25,27511.635682161308,532290845181.53394,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-26,28351.218248373007,548359667398.65234,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-27,28352.19132059668,548638734338.3676,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-28,29483.52170499186,570258039118.5771,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-29,29339.99499754935,568153896404.9741,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-04-30,29217.944046809916,565714356650.6621,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-01,29362.056213625398,568513467268.4124,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-02,28125.501155636823,544421676291.20087,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-03,28654.39013332672,554886795897.9369,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-04,28988.320996249277,561312171794.5802,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-05,28846.461458608057,558634329303.2208,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-06,29520.322268970496,571520224182.8824,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-07,28887.74104552337,559078681902.6073,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-08,28611.43919761457,554373015261.6681,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-09,27696.76078562556,536032086472.038,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-10,27607.39168091902,535037100026.6903,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-11,27639.73356593586,534937464538.75824,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-12,27024.76572929978,523414877659.3074,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-13,26787.69039591833,518816444750.7709,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-14,26798.126271474703,520426027097.3362,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-15,26911.805273213893,521319019334.69617,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-16,27227.793422558792,527655229433.8867,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-17,27022.713173921147,523965691858.8659,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-18,27389.971511442203,530762551513.4872,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-19,26842.95249471792,520544913836.41,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-20,26884.371059589947,521153640362.9618,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-21,27093.79110149735,525040003344.1629,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-22,26773.83024366478,519171380714.0945,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-23,26869.686021790774,520821915713.9187,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-24,27222.937746603853,527528695688.7587,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-25,26338.948946998687,510987979871.2201,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-26,26475.607902534277,513295724355.69904,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-27,26717.987553571777,517973731437.9403,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-28,26848.23993959246,520461980942.25433,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-29,28110.313467609285,544879177078.8053,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-30,27759.74666392068,538430950369.49817,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-05-31,27713.908547529507,537414074116.4985,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-01,27245.474465179723,528464394082.93866,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-02,26824.10149951678,520271910707.11273,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-03,27247.74008145703,528508990069.2122,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-04,27066.371328526235,525209390395.5061,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-05,27315.447587487684,529630092281.3869,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-06,25792.6160902334,500593893699.2183,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-07,27216.61556469773,527295592028.0809,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-08,26346.244545137637,510979921090.6337,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-09,26507.90989220298,514279355771.4992,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-10,26469.581684007026,513226142603.1213,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-11,25858.12289218562,501653860264.2029,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-12,25916.57989637981,502683000962.43024,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-13,25910.362742919464,502562686069.16986,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-14,25872.20645879509,501752262681.7188,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-15,25107.754695880594,487262840554.6715,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-16,25564.599632887144,495788386559.1016,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-17,26327.3256694539,510906153487.6052,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-18,26501.044442233677,514331114457.8236,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-19,26333.092529664373,511384956032.88007,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-20,26779.38746152284,519667661979.1768,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-21,28330.891419807507,549330089183.52325,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-22,30101.76481948869,584070487996.789,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-23,29935.63210674956,581473706978.9268,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-24,30629.24435333575,594588611688.3142,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-25,30537.816664634796,592912110031.5245,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-26,30454.75697441562,591387700082.1104,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-27,30285.50506407074,587134340343.6245,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-28,30693.54635606798,595427193050.2291,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-29,30083.477245263824,584187696961.3756,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-06-30,30466.61045689353,591688337868.8445,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-01,30480.781481944465,591722375245.7673,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-02,30583.619599697537,593625140902.5646,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-03,30571.887072871446,593627203721.8534,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-04,31134.713133508405,604507839820.0979,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-05,30775.624022375305,598449423994.1252,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-06,30484.79377442352,592386606697.3153,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-07,29990.055151220247,583429029204.2451,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-08,30315.26540235163,588811434763.8912,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-09,30264.19734525722,587678367157.9867,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-10,30169.87065747925,585883986681.1711,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-11,30394.28114637557,590311894648.7518,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-12,30620.81424697801,594749192359.1351,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-13,30407.41631435991,590629381260.7114,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-14,31446.0149710716,610725509598.8464,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-15,30311.82780813052,588107447250.1327,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-16,30297.97140012553,588642134563.5204,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-17,30237.334785146097,586391434733.7153,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-18,30147.860079211525,585500720965.1113,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
2023-07-19,29848.03227250528,579708613537.5165,67617.0155448617,2021-11-09,btc,Bitcoin,BTC
