date,price,market_cap,ath_value,ath_date,symbol,name
2023-01-01,0.0703383077726796,9675397665.427988,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-02,0.0702660360858024,9642542404.974634,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-03,0.0714258860192354,9837024174.334692,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-04,0.0705441315157486,9697413277.281887,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-05,0.0732558924907237,10031834935.00088,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-06,0.0715367408657999,9842815302.005972,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-07,0.0726000339251699,9990718873.37009,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-08,0.0723263902999309,9950401473.714249,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-09,0.0733535710346364,10112409623.21956,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-10,0.0759400136350239,10460925447.221182,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-11,0.0776417608703692,10669415549.954388,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-12,0.0783017821760705,10785447878.93371,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-13,0.0803095400171008,11085178367.854136,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-14,0.0843157423552742,11623302622.6605,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-15,0.08755368193914,12068323856.612995,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-16,0.0861357201711391,11856733528.917416,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-17,0.0836854473094544,11528291217.020878,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-18,0.0830808692578692,11449270580.191711,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-19,0.0803692099215576,11067619777.91007,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-20,0.0817234670491553,11269006542.747513,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-21,0.0864660552921425,11923758984.12502,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-22,0.0847089034771974,11666628136.564837,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-23,0.088499557633707,12177828761.441853,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-24,0.0889081964204009,12249357530.443144,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-25,0.0840595543236483,11564376184.194464,0.6818416367796407,2021-05-08,doge,Dogecoin
2023-01-26,0.087043637287327,11983399576.263828,0.6818416367796407,2021-05-08,doge,Dogecoin
