date,price,market_cap,ath_value,ath_date,symbol,name,token
2023-01-01,1196.6130648084502,144188788703.97467,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-02,1200.65921690107,144712215098.15164,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-03,1214.3789459253508,146443084804.90094,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-04,1214.760969419338,146422424046.4976,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-05,1256.4366037834864,151322902029.0838,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-06,1250.7922522355914,150805231900.39493,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-07,1270.028610178057,153115414332.1746,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-08,1264.8369433837202,152351777734.96948,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-09,1284.5754041342989,154857941332.0086,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-10,1321.676571173056,159397504473.27673,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-11,1336.017071771777,160999220384.61914,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-12,1389.771662094107,167839113151.03107,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-13,1417.134908743914,170890542806.26074,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-14,1453.3769102089225,174798760594.58777,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-15,1549.111474081304,187276048380.94897,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-16,1551.324517175301,186901700956.48312,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-17,1577.725890482971,190122961411.6948,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-18,1569.5308332272923,188982728685.09732,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-19,1516.555475473704,183517931282.5893,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-20,1550.5088875585636,186967330908.32364,4815.004634322234,2021-11-09,eth,Ethereum,ETH
2023-01-21,1661.3349193405402,200011161010.51965,4815.004634322234,2021-11-09,eth,Ethereum,ETH
