date,price,market_cap,symbol,name
2020-01-01,7195.153895430029,130394101535.60994,btc,Bitcoin
2020-01-02,7193.7546679601,130422953817.668,btc,Bitcoin
2020-01-03,6963.853353983485,126280790200.20206,btc,Bitcoin
2020-01-04,7300.34693530511,132766262579.09486,btc,Bitcoin
2020-01-05,7351.377053166627,133474716218.18333,btc,Bitcoin
2020-01-06,7349.972248050628,133388991086.87987,btc,Bitcoin
2020-01-07,7734.675515785289,140557168287.4443,btc,Bitcoin
2020-01-08,8147.415237636371,147798610895.50055,btc,Bitcoin
2020-01-09,8045.789124592971,146089575425.2795,btc,Bitcoin
2020-01-10,7832.795643840387,141913856953.47913,btc,Bitcoin
2020-01-11,8180.513169803805,146879934259.3087,btc,Bitcoin
2020-01-12,8012.085781814529,145561586658.57422,btc,Bitcoin
2020-01-13,8171.401185320944,148204228775.38776,btc,Bitcoin
2020-01-14,8110.647964503772,147446058196.45944,btc,Bitcoin
2020-01-15,8801.871213137745,159481192213.82108,btc,Bitcoin
2020-01-16,8820.85010599613,159960761751.8495,btc,Bitcoin
2020-01-17,8720.91950137424,158412991117.64667,btc,Bitcoin
2020-01-18,8902.568995225329,161848747742.1508,btc,Bitcoin
2020-01-19,8906.902675151074,161823609428.34625,btc,Bitcoin
2020-01-20,8690.380569544623,157906057309.30655,btc,Bitcoin
2020-01-21,8631.253954333763,156848009983.54858,btc,Bitcoin
2020-01-22,8724.818622931474,158564958350.98007,btc,Bitcoin
2020-01-23,8665.436914096897,157502652064.02246,btc,Bitcoin
2020-01-24,8415.956027335538,152984928858.5764,btc,Bitcoin
2020-01-25,8432.096675789418,153294353936.51035,btc,Bitcoin
2020-01-26,8348.665665079325,151794495723.25214,btc,Bitcoin
2020-01-27,8595.728298493115,156302144661.30927,btc,Bitcoin
2020-01-28,8879.335548714553,161473602737.4275,btc,Bitcoin
2020-01-29,9320.805853868467,169518428144.8912,btc,Bitcoin
2020-01-30,9276.893821086494,168738228801.50467,btc,Bitcoin
2020-01-31,9509.80513557522,172993102966.37723,btc,Bitcoin
2020-02-01,9308.060285564778,169340144566.23718,btc,Bitcoin
2020-02-02,9363.22420680057,170361167834.16483,btc,Bitcoin
2020-02-03,9338.416631939404,169926610304.08496,btc,Bitcoin
2020-02-04,9308.91270229121,169406963182.6937,btc,Bitcoin
2020-02-05,9179.95928107711,167075369075.11478,btc,Bitcoin
2020-02-06,9592.18387389791,174596806174.2994,btc,Bitcoin
2020-02-07,9744.636578159387,177388314197.5645,btc,Bitcoin
2020-02-08,9799.448455824684,178414902529.15167,btc,Bitcoin
2020-02-09,9890.701658194865,180081607384.42255,btc,Bitcoin
2020-02-10,10148.379719131783,184792100015.16357,btc,Bitcoin
2020-02-11,9890.121224019967,180145850760.05313,btc,Bitcoin
2020-02-12,10226.925769215322,186262984851.99295,btc,Bitcoin
2020-02-13,10328.897565836414,188132988212.86746,btc,Bitcoin
2020-02-14,10221.260309201634,186190344916.03287,btc,Bitcoin
2020-02-15,10320.157140513991,187680301470.73926,btc,Bitcoin
2020-02-16,9894.136123789158,180265718400.57037,btc,Bitcoin
2020-02-17,9943.673602578743,181221481668.7407,btc,Bitcoin
2020-02-18,9723.605026422496,176547652266.39673,btc,Bitcoin
2020-02-19,10133.817417084678,184918071499.10074,btc,Bitcoin
2020-02-20,9618.409248250406,175312937106.92148,btc,Bitcoin
2020-02-21,9608.16918128246,174871048291.16623,btc,Bitcoin
2020-02-22,9673.011800270346,176701844101.55685,btc,Bitcoin
