id,symbol,name,current_price,market_cap,market_cap_rank,high_24h,low_24h,price_change_24h,price_change_percentage_24h,market_cap_change_24h,market_cap_change_percentage_24h,ath,ath_change_percentage,ath_date
bitcoin,btc,Bitcoin,"29,079.00","566,002,645,211.00",1,"29,408.00","29,053.00",-254.49,-86.76%,"-4,949,362,744.32",-86.69%,"69,045.00",-57.87%,2021-11-10T14:24:11.849Z
ethereum,eth,Ethereum,"1,821.40","218,868,994,489.00",2,"1,842.75","1,818.53",-16.86,-91.73%,"-2,053,000,983.60",-92.93%,"4,878.26",-62.65%,2021-11-10T14:24:19.604Z
tether,usdt,Tether,1.00,"83,135,475,584.00",3,1.00,1.00,0.00,26.67%,"-208,350,642.64",-25.00%,1.32,-24.40%,2018-07-24T00:00:00.000Z
binancecoin,bnb,BNB,233.03,"35,855,531,599.00",4,239.20,232.73,-5.55,-232.76%,"-875,347,235.56",-238.31%,686.31,-66.06%,2021-05-10T07:24:17.097Z
ripple,xrp,XRP,0.59,"31,317,407,561.00",5,0.63,0.59,-0.03,-495.79%,"-1,652,308,724.09",-501.16%,3.40,-82.57%,2018-01-07T00:00:00.000Z
usd-coin,usdc,USD Coin,1.00,"26,016,993,917.00",6,1.00,1.00,0.00,11.30%,"74,236,489.00",28.62%,1.17,-14.62%,2019-05-08T00:40:28.300Z
dogecoin,doge,Dogecoin,0.07,"9,725,167,619.00",8,0.07,0.07,-0.00,-614.68%,"-629,467,308.19",-607.91%,0.73,-90.57%,2021-05-08T05:08:23.458Z
cardano,ada,Cardano,0.27,"9,563,403,410.00",9,0.29,0.27,-0.02,-538.16%,"-548,125,916.29",-542.08%,3.09,-91.19%,2021-09-02T06:00:10.474Z
solana,sol,Solana,23.13,"9,391,870,633.00",10,24.92,22.99,-1.65,-666.59%,"-672,448,219.60",-668.15%,259.96,-91.13%,2021-11-06T21:54:35.825Z
polkadot,dot,Polkadot,4.73,"5,980,946,332.00",12,4.96,4.71,-0.22,-447.38%,"-279,562,748.71",-446.55%,54.98,-91.43%,2021-11-04T14:10:09.301Z
